highway_n,osmid_n,ref_n,geometry_n
,4792457190,,POINT (-117.084862 32.740479)
,49289193,,POINT (-117.017258 32.650425)
,49289194,,POINT (-117.017479 32.65015)
,49223657,,POINT (-116.944603 32.792027)
motorway_junction,295245802,18B,POINT (-117.0063645 32.7922076)
turning_circle,49616880,,POINT (-117.052803 32.668308)
,3537180656,,POINT (-116.9699199 32.6352457)
,49486190,,POINT (-117.084084 32.592003)
,3537180660,,POINT (-116.9699167 32.6358633)
,49158139,,POINT (-117.0659488 32.6528741)
,49158144,,POINT (-117.0644063 32.6519309)
,49092609,,POINT (-117.2329337 32.7596514)
,49158150,,POINT (-117.0641196 32.6512772)
,49092615,,POINT (-117.2308845 32.7610724)
,49223691,,POINT (-116.9642434 32.6392438)
,49158165,,POINT (-117.063201 32.6500659)
,49616917,,POINT (-117.025948 32.719376)
,49616920,,POINT (-117.026192 32.721767)
,49616924,,POINT (-117.02697 32.728878)
,49223709,,POINT (-116.962914 32.635159)
,49616932,,POINT (-117.026932 32.731831)
,49223718,,POINT (-116.959244 32.631798)
,49223727,,POINT (-116.957314 32.63105)
,49616945,,POINT (-117.026878 32.737202)
,49223736,,POINT (-116.954193 32.631489)
,49682491,,POINT (-117.070427 32.785446)
motorway_junction,48896059,3,POINT (-117.0764444 32.5681677)
,49616957,,POINT (-117.027069 32.73732)
,48896069,,POINT (-117.0768221 32.5641096)
,49092679,,POINT (-117.085701 32.699963)
,49092680,,POINT (-117.085701 32.699497)
,49092681,,POINT (-117.085693 32.698902)
construction,5862332492,,POINT (-117.005064 32.5953121)
turning_circle,49682514,,POINT (-117.014603 32.701191)
construction,5862332504,,POINT (-117.0000073 32.5956633)
construction,5862332507,,POINT (-117.00209 32.5944502)
,4626126941,,POINT (-117.0302466 32.7702683)
,49158240,,POINT (-117.025032 32.605434)
,4626126944,,POINT (-117.0294445 32.7708502)
,49616993,,POINT (-117.073227 32.701492)
construction,5862332515,,POINT (-117.0032258 32.5970383)
,49616994,,POINT (-117.070877 32.701462)
,49617002,,POINT (-117.067886 32.701424)
,49420400,,POINT (-117.165622 32.7229613)
,49289328,,POINT (-117.2325436 32.7402169)
,48961648,,POINT (-117.007607 32.747425)
,49420403,,POINT (-117.1665031 32.7229776)
,48961649,,POINT (-117.007477 32.747536)
traffic_signals,660543602,,POINT (-117.2469573 32.7711396)
,49617011,,POINT (-117.058853 32.701328)
,49617012,,POINT (-117.056976 32.701302)
traffic_signals,660543603,,POINT (-117.2379533 32.7654174)
,49069391,,POINT (-117.145576 32.746433)
turning_circle,49420411,,POINT (-117.1698514 32.7229911)
,49617023,,POINT (-117.050636 32.702446)
,49420417,,POINT (-117.179203 32.7784545)
,49617025,,POINT (-117.048813 32.70266)
construction,5862332550,,POINT (-116.9976086 32.5955877)
,49617031,,POINT (-117.047394 32.702721)
,49027208,,POINT (-117.031759 32.7732143)
turning_circle,49420426,,POINT (-117.1784106 32.7787958)
,49617038,,POINT (-117.044853 32.702858)
,49617041,,POINT (-117.044083 32.702934)
,49158290,,POINT (-116.919273 32.773796)
,49223828,,POINT (-117.058403 32.67749)
,49158298,,POINT (-116.919197 32.772121)
traffic_signals,49092770,,POINT (-117.0121939 32.7824455)
,49092771,,POINT (-117.012711 32.782871)
traffic_signals,5886974116,,POINT (-117.1400668 32.7719264)
traffic_signals,5886974117,,POINT (-117.1402279 32.7719015)
,49223843,,POINT (-117.055893 32.67482)
,48961704,,POINT (-116.997337 32.714924)
,49092779,,POINT (-117.012573 32.787117)
,49223851,,POINT (-117.146744 32.70182)
,49748141,,POINT (-117.023003 32.719013)
,49223855,,POINT (-117.147507 32.701027)
turning_circle,1171658929,,POINT (-117.0084392 32.5807259)
,49223857,,POINT (-117.148308 32.700203)
,1171658931,,POINT (-117.0165745 32.5862901)
,49092786,,POINT (-117.012894 32.789326)
,49092788,,POINT (-117.012756 32.790901)
,49223864,,POINT (-117.1491319 32.6993589)
,1171658937,,POINT (-117.0090346 32.5821091)
,49223865,,POINT (-117.1492285 32.6992239)
,1762662590,,POINT (-117.1494531 32.7494064)
,49223870,,POINT (-117.144386 32.704243)
stop,1762662592,,POINT (-117.1486114 32.7511185)
,49223872,,POINT (-117.145142 32.703465)
,1762662594,,POINT (-117.1480531 32.7522403)
,1171658949,,POINT (-117.0106386 32.5820549)
turning_circle,1171658950,,POINT (-117.0096247 32.5818741)
,1762662600,,POINT (-117.148337 32.7524684)
stop,49289416,,POINT (-117.1934687 32.7700817)
traffic_signals,1762662602,,POINT (-117.1478687 32.7526604)
,1171658956,,POINT (-117.0043032 32.5802694)
,1171658959,,POINT (-117.0049845 32.5805903)
turning_circle,1171658962,,POINT (-117.0058482 32.579858)
turning_circle,1171658964,,POINT (-117.0167326 32.5861907)
turning_circle,1171658968,,POINT (-117.0046036 32.579284)
,2523404508,,POINT (-117.1457328 32.7351973)
turning_circle,1171658981,,POINT (-117.0146404 32.5845002)
,49420519,,POINT (-117.1323412 32.5817715)
,49617128,,POINT (-117.026237 32.706043)
,49289449,,POINT (-116.9823988 32.7421208)
,1171658985,,POINT (-117.0127897 32.5825882)
,1171658987,,POINT (-117.0065616 32.5798671)
turning_circle,1171658986,,POINT (-117.0163678 32.5844957)
,49420521,,POINT (-117.1317261 32.5817448)
turning_circle,1171658990,,POINT (-117.0109336 32.5806943)
,49027314,,POINT (-117.1098842 32.6838726)
,49420531,,POINT (-117.123451 32.581741)
turning_circle,1171658996,,POINT (-117.0086484 32.5794738)
,48961778,,POINT (-117.1466911 32.7065003)
,49486069,,POINT (-117.029984 32.768269)
,48961781,,POINT (-117.146713 32.708961)
turning_circle,49682680,,POINT (-117.037598 32.714302)
,1171659000,,POINT (-117.0064758 32.5808706)
,1171659006,,POINT (-117.0138465 32.5829408)
turning_circle,1171659007,,POINT (-117.0132242 32.5817068)
,1171659012,,POINT (-117.0160549 32.5855909)
turning_circle,1171659013,,POINT (-117.0030372 32.5813)
turning_circle,1171659015,,POINT (-117.012559 32.5814898)
,49289481,,POINT (-116.98111 32.742352)
turning_circle,1171659017,,POINT (-117.0034717 32.5825882)
turning_circle,1171659020,,POINT (-117.0079939 32.579962)
turning_circle,49420560,,POINT (-117.018867 32.684635)
,1171659024,,POINT (-117.0138572 32.5834652)
,1171659026,,POINT (-117.0162068 32.5854992)
construction,5862332691,,POINT (-117.0005847 32.5973127)
construction,5862332692,,POINT (-117.0052811 32.5960365)
turning_circle,1171659027,,POINT (-117.008702 32.5810604)
,1171659030,,POINT (-117.0033966 32.5801428)
,49486096,,POINT (-117.024399 32.763519)
turning_circle,1171659032,,POINT (-117.0167111 32.5868326)
turning_circle,278468885,,POINT (-117.1033271 32.6933387)
,49486106,,POINT (-117.020401 32.764404)
construction,5862332699,,POINT (-116.9943704 32.6008074)
turning_circle,1171659035,,POINT (-117.0042227 32.5808073)
,49486111,,POINT (-117.020042 32.764553)
construction,5862332704,,POINT (-116.9957048 32.5967837)
construction,5862332705,,POINT (-116.9947873 32.5984516)
,1171659040,,POINT (-117.0152702 32.5852142)
,49486114,,POINT (-117.018967 32.76498)
construction,5862332708,,POINT (-116.9969908 32.6021144)
,1431574821,,POINT (-116.9852526 32.7914687)
,1431574822,,POINT (-116.9852452 32.7913787)
construction,5862332709,,POINT (-117.0043563 32.5984334)
,1431574824,,POINT (-116.985282 32.791165)
,49420582,,POINT (-117.1727647 32.6761356)
,49420583,,POINT (-117.1722325 32.6752181)
,49486119,,POINT (-117.016167 32.766369)
construction,5862332716,,POINT (-116.9959048 32.5973502)
,1431574832,,POINT (-116.9802841 32.7955593)
,1171659056,,POINT (-117.0087181 32.5817611)
,1431574834,,POINT (-116.9799542 32.7956062)
construction,5862332722,,POINT (-116.9951643 32.5978447)
,49486133,,POINT (-117.015442 32.767937)
,49486135,,POINT (-117.0131437 32.7687297)
,48896312,,POINT (-117.18293 32.741829)
construction,5862332730,,POINT (-117.0042845 32.5955742)
,49551675,,POINT (-117.048233 32.594681)
,49551676,,POINT (-117.048233 32.594395)
construction,5862332732,,POINT (-116.9991318 32.6019494)
turning_circle,1171659070,,POINT (-117.0070337 32.5826289)
traffic_signals,49486140,,POINT (-117.0081749 32.7706558)
,48896320,,POINT (-117.1797121 32.7402253)
,1171659072,,POINT (-117.0033556 32.5805714)
,48961852,,POINT (-117.045067 32.735195)
construction,5862332739,,POINT (-117.0003954 32.5967696)
,49158468,,POINT (-117.003326 32.674126)
,49289540,,POINT (-117.082039 32.652702)
,49158470,,POINT (-117.00351 32.673531)
,49289539,,POINT (-117.080147 32.65324)
,48961855,,POINT (-117.03923 32.735298)
,48961856,,POINT (-117.011887 32.746838)
construction,5862332746,,POINT (-116.9997792 32.5950351)
,49486147,,POINT (-117.0065146 32.7719402)
,49486149,,POINT (-117.0056282 32.7728344)
,1171659085,,POINT (-117.0107266 32.5825057)
,49551694,,POINT (-117.1227201 32.723016)
traffic_signals,49486151,,POINT (-117.0051375 32.773499)
traffic_signals,49486158,,POINT (-117.0043204 32.776763)
,48961873,,POINT (-117.023102 32.741848)
,49158483,,POINT (-117.003502 32.671471)
,49682771,,POINT (-117.044463 32.577481)
turning_circle,1171659094,,POINT (-117.0076881 32.5830222)
construction,5862332759,,POINT (-116.9982949 32.5973012)
,1171659095,,POINT (-117.0031356 32.5811549)
turning_circle,49682777,,POINT (-116.978989 32.736042)
,1171659098,,POINT (-117.0065026 32.5804502)
,49158491,,POINT (-117.002617 32.668571)
,1171659099,,POINT (-117.0033912 32.5776657)
turning_circle,1171659100,,POINT (-117.0146833 32.5857252)
,49551712,,POINT (-117.1574885 32.72298)
,1171659105,,POINT (-117.0157026 32.5849251)
turning_circle,1171659106,,POINT (-117.0115666 32.5829996)
,49158501,,POINT (-117.027283 32.679459)
,49551718,,POINT (-117.13295 32.723423)
,1171659109,,POINT (-117.0083372 32.5808525)
construction,5862332776,,POINT (-116.9973801 32.6004322)
,49551720,,POINT (-117.1311558 32.7234017)
,49551722,,POINT (-117.1292677 32.723389)
turning_circle,1171659112,,POINT (-117.006331 32.5822809)
,49158508,,POINT (-117.027588 32.679317)
motorway_junction,356522349,9,POINT (-116.9861138 32.6767004)
,49551726,,POINT (-117.0914251 32.722757)
turning_circle,49682796,,POINT (-116.97554 32.736275)
turning_circle,1171659120,,POINT (-117.0037131 32.5814356)
,49486187,,POINT (-117.084084 32.592834)
,49158514,,POINT (-117.027924 32.679131)
,1171659123,,POINT (-117.0085572 32.5824391)
,49289588,,POINT (-117.015778 32.69754)
,1171659124,,POINT (-117.0079725 32.5827555)
,49289590,,POINT (-117.0149359 32.6978111)
turning_circle,1171659126,,POINT (-117.0116471 32.581178)
,1171659125,,POINT (-117.0134875 32.5819585)
,49486201,,POINT (-117.084084 32.585663)
turning_circle,1171659130,,POINT (-117.0035522 32.5821227)
,49289595,,POINT (-117.018028 32.799412)
,1171659132,,POINT (-117.0004606 32.579507)
,49158525,,POINT (-117.029373 32.678856)
,49486203,,POINT (-117.084084 32.583767)
,49486204,,POINT (-117.084084 32.582016)
,49486205,,POINT (-117.084091 32.580132)
,1171659140,,POINT (-117.0037775 32.582308)
,49158533,,POINT (-117.030403 32.678604)
,49486213,,POINT (-117.084099 32.572056)
,49551751,,POINT (-116.994202 32.720242)
,1171659144,,POINT (-117.0064543 32.5812729)
,1171659143,,POINT (-117.0075219 32.5821634)
,49486216,,POINT (-117.084106 32.571316)
,49158539,,POINT (-117.028122 32.679787)
,1171659148,,POINT (-117.0064061 32.5818921)
,49486217,,POINT (-117.084084 32.570602)
,4589689227,,POINT (-117.0882841 32.6336769)
,49486219,,POINT (-117.084084 32.569881)
,49551761,,POINT (-116.991241 32.720184)
traffic_signals,49027474,,POINT (-117.025138 32.6684255)
,49486225,,POINT (-117.084068 32.563869)
,5862332827,,POINT (-116.9990994 32.6071626)
,49551772,,POINT (-116.9872889 32.7201148)
,1824135593,,POINT (-117.0979109 32.583955)
,5862332843,,POINT (-117.0054672 32.5931813)
,49420720,,POINT (-117.15139 32.785423)
,4341832114,,POINT (-117.094624 32.6875542)
traffic_signals,1228872120,,POINT (-116.9691835 32.6306332)
,4341832121,,POINT (-117.1023586 32.6926311)
traffic_signals,1228872123,,POINT (-116.9646819 32.6277926)
construction,5862332861,,POINT (-117.0007986 32.6004986)
traffic_signals,1228872126,,POINT (-116.9672349 32.6287001)
,49748417,,POINT (-117.021652 32.651337)
,49748419,,POINT (-117.021873 32.652386)
turning_circle,49420749,,POINT (-117.048317 32.633774)
,49093070,,POINT (-117.0051753 32.64687)
,49093071,,POINT (-117.00531 32.646484)
,49093072,,POINT (-117.005363 32.646393)
,49093075,,POINT (-117.005623 32.645924)
,49093077,,POINT (-117.005524 32.64537)
traffic_signals,1228872152,,POINT (-116.9694184 32.6306011)
,49420765,,POINT (-116.958908 32.638569)
turning_circle,49158623,,POINT (-117.002724 32.651871)
,49093088,,POINT (-116.9791942 32.7177991)
traffic_signals,1228872166,,POINT (-116.9692938 32.6304735)
,49093096,,POINT (-116.978653 32.7192)
,6300637684,,POINT (-117.239096 32.7119992)
traffic_signals,1228872188,,POINT (-116.9729733 32.6323555)
,1167727102,,POINT (-116.9754856 32.6254157)
,49093127,,POINT (-117.0239124 32.6938112)
,49093129,,POINT (-117.0230102 32.6941029)
,5765667340,,POINT (-116.9980811 32.6448685)
traffic_signals,1228872209,,POINT (-116.9644699 32.6277398)
,49617426,,POINT (-117.020683 32.740795)
,5765667346,,POINT (-116.9982081 32.6444492)
,49551901,,POINT (-117.055656 32.668926)
turning_circle,49158687,,POINT (-117.070488 32.688427)
,49551906,,POINT (-117.054977 32.669109)
,846535202,,POINT (-117.1785373 32.7495769)
,49551909,,POINT (-117.053596 32.669502)
,49551910,,POINT (-117.051643 32.670082)
,49158697,,POINT (-117.067902 32.689808)
,49355306,,POINT (-117.0245237 32.6606428)
turning_circle,49289771,,POINT (-117.01017 32.750546)
,1228872236,,POINT (-116.9608803 32.6274025)
,49355309,,POINT (-117.024399 32.659779)
turning_circle,49158703,,POINT (-117.066643 32.690598)
,49224249,,POINT (-117.082314 32.624287)
,49224250,,POINT (-117.083183 32.624035)
,49224252,,POINT (-117.084663 32.623619)
,846535239,,POINT (-117.1785534 32.7485191)
,1228872265,,POINT (-116.9682228 32.629528)
turning_circle,49551957,,POINT (-117.16275 32.784325)
,49486429,,POINT (-117.037468 32.671803)
,49551969,,POINT (-117.161827 32.788605)
,49224290,,POINT (-117.214546 32.743679)
,49224291,,POINT (-117.21553 32.744263)
,49551972,,POINT (-117.161377 32.789268)
,49486436,,POINT (-117.037216 32.670887)
turning_circle,49289833,,POINT (-116.9928819 32.791772)
turning_circle,49158762,,POINT (-116.949013 32.750961)
,49224300,,POINT (-117.222397 32.749081)
turning_circle,49289839,,POINT (-116.9920453 32.7946135)
turning_circle,48962159,,POINT (-117.1260959 32.7614885)
,49289844,,POINT (-117.060226 32.598927)
,49224310,,POINT (-116.989548 32.798962)
,49289848,,POINT (-117.0602691 32.5968355)
,49093242,,POINT (-116.978951 32.748753)
traffic_signals,3698006651,,POINT (-116.9747528 32.7877058)
,49224316,,POINT (-116.9900257 32.7992524)
,49289855,,POINT (-117.0602743 32.5947318)
,49289859,,POINT (-117.073769 32.578884)
,49289860,,POINT (-117.073769 32.577221)
,49289861,,POINT (-117.073769 32.576473)
,49289862,,POINT (-117.073776 32.57576)
,49289872,,POINT (-117.073967 32.574574)
,48962204,,POINT (-117.0119087 32.7523604)
turning_circle,3586136739,,POINT (-116.9959534 32.6203555)
,49420994,,POINT (-116.9853536 32.6354397)
,49093318,,POINT (-117.149822 32.7520088)
traffic_signals,49093319,,POINT (-117.1493242 32.7522113)
traffic_signals,49093321,,POINT (-117.1476365 32.7527954)
traffic_signals,49093322,,POINT (-117.1639151 32.7499687)
traffic_signals,49093323,,POINT (-117.1616026 32.7499702)
,49134640,,POINT (-117.1479193 32.7327892)
,1733147696,,POINT (-117.216196 32.7936391)
traffic_signals,49617626,,POINT (-117.2372851 32.7540795)
,49093341,,POINT (-117.023163 32.724972)
,49093342,,POINT (-117.023216 32.724972)
,49093343,,POINT (-117.023277 32.725883)
,49093344,,POINT (-117.0233068 32.7261454)
,49093345,,POINT (-117.023361 32.727066)
,49093347,,POINT (-117.023491 32.728996)
,49093348,,POINT (-117.023491 32.729023)
,49093351,,POINT (-117.023407 32.731838)
,49158888,,POINT (-117.033058 32.693172)
,49158889,,POINT (-117.0327204 32.6928054)
,49093354,,POINT (-117.023354 32.733238)
,49093355,,POINT (-117.023293 32.735798)
,49093356,,POINT (-117.02327 32.736565)
,49093357,,POINT (-117.023247 32.7369)
,49093358,,POINT (-117.023232 32.737427)
,49093359,,POINT (-117.023216 32.738281)
,49093360,,POINT (-117.023163 32.739738)
,49093361,,POINT (-117.023163 32.739784)
,49093362,,POINT (-117.023132 32.740471)
,49093363,,POINT (-117.023109 32.741188)
turning_circle,49093364,,POINT (-117.081703 32.653683)
,49158902,,POINT (-117.030937 32.691029)
,49093367,,POINT (-117.082367 32.653564)
,49421048,,POINT (-117.069061 32.691597)
,49158905,,POINT (-117.093193 32.783997)
,49748731,,POINT (-117.012352 32.660233)
,49355516,,POINT (-116.919159 32.752567)
traffic_signals,49617661,,POINT (-117.221505 32.7257107)
,49355520,,POINT (-116.91922 32.75135)
,49421057,,POINT (-117.068977 32.690777)
,5853354756,,POINT (-117.0453889 32.5838685)
,5853354757,,POINT (-117.0540262 32.5838912)
,5853354759,,POINT (-117.0540079 32.5836596)
,49552147,,POINT (-116.995049 32.774296)
,4612954899,,POINT (-117.0294214 32.7401739)
,49355545,,POINT (-117.05806 32.573711)
,49355549,,POINT (-117.060371 32.573921)
,4591459103,,POINT (-117.1056127 32.7550933)
,1921850146,,POINT (-117.1660077 32.7615483)
,49355558,,POINT (-117.05616 32.573723)
,1921850158,,POINT (-117.0454514 32.772974)
motorway_junction,275716916,7B,POINT (-117.0919532 32.6192802)
,1921850166,,POINT (-117.1003558 32.7777049)
,49552184,,POINT (-116.9987402 32.774173)
,1921850174,,POINT (-117.100124 32.7797552)
,49552191,,POINT (-117.026649 32.603264)
,3402597942,,POINT (-117.1009256 32.7289085)
,1921850177,,POINT (-116.9788548 32.7829492)
,49093443,,POINT (-117.0013656 32.7861939)
,49355588,,POINT (-117.032806 32.597801)
,3402597943,,POINT (-117.1010194 32.729001)
,2522422086,,POINT (-117.2348723 32.7750564)
,49093447,,POINT (-117.0240253 32.7571567)
,5532359496,,POINT (-117.1485959 32.7068138)
,5380381513,,POINT (-117.0819165 32.637789)
,5380381514,,POINT (-117.0819827 32.6379224)
,5380381515,,POINT (-117.0801562 32.6382952)
,5380381516,,POINT (-117.0802072 32.6384127)
,5532359497,,POINT (-117.183781 32.743177)
,49093450,,POINT (-117.0228845 32.7601073)
,49617739,,POINT (-117.2276346 32.7324461)
,5380381520,,POINT (-117.0809622 32.6382091)
,5532359501,,POINT (-117.1477765 32.7139212)
,5532359503,,POINT (-117.1663737 32.7259048)
,49093456,,POINT (-117.022827 32.760822)
,49617744,,POINT (-117.22628 32.731606)
,49617746,,POINT (-117.2259094 32.7313486)
,49617743,,POINT (-117.2265789 32.7317891)
,3402597945,,POINT (-117.1011225 32.7291025)
,3402597946,,POINT (-117.1011785 32.7291576)
,3402597947,,POINT (-117.1007372 32.7292228)
,49617754,,POINT (-117.231537 32.734818)
,3402597948,,POINT (-117.1008419 32.7294085)
,49290084,,POINT (-117.246971 32.7294396)
,49421159,,POINT (-117.122513 32.587582)
,5751446376,,POINT (-116.9054265 32.7948195)
,49290087,,POINT (-117.2480123 32.7296458)
,49421166,,POINT (-117.121277 32.585815)
,48896883,,POINT (-117.016792 32.668396)
,48896884,,POINT (-117.016632 32.668129)
,49159039,,POINT (-117.01886 32.726772)
,49159040,,POINT (-117.019203 32.726994)
,49421187,,POINT (-117.1835016 32.696331)
,49224581,,POINT (-117.076271 32.769772)
,49224583,,POINT (-117.071907 32.76976)
,49421196,,POINT (-117.1807471 32.6951752)
,49421199,,POINT (-117.1785439 32.6942507)
turning_circle,49224591,,POINT (-117.0787765 32.7704283)
,49421201,,POINT (-117.1782149 32.6941126)
,49290130,,POINT (-117.038528 32.709934)
,49421203,,POINT (-117.1779705 32.69401)
,49251911,,POINT (-117.16304 32.79472)
,49421207,,POINT (-117.1768602 32.6935441)
,49224599,,POINT (-117.077057 32.770168)
,49224601,,POINT (-117.0762711 32.7701824)
,49290144,,POINT (-116.979813 32.736015)
,49421217,,POINT (-117.1744847 32.6925473)
,49224610,,POINT (-117.064751 32.76992)
,49251913,,POINT (-117.163933 32.793835)
,49290151,,POINT (-116.900948 32.738964)
,49421225,,POINT (-117.1715536 32.6913173)
,49290155,,POINT (-116.900833 32.738419)
,49290158,,POINT (-116.921829 32.746449)
,49290159,,POINT (-116.921257 32.746506)
,49748911,,POINT (-117.025452 32.602337)
,49748913,,POINT (-117.025467 32.601906)
,49748916,,POINT (-117.010551 32.717384)
,49290176,,POINT (-117.08622 32.794304)
,49290177,,POINT (-117.083267 32.794289)
,2394627010,,POINT (-117.124276 32.5749467)
,2394627013,,POINT (-117.1243087 32.5764756)
,1497485174,,POINT (-117.1083131 32.6594536)
,4632484816,,POINT (-117.1071409 32.6719258)
,4632484817,,POINT (-117.1067992 32.6710724)
,49224661,,POINT (-116.909607 32.776791)
turning_circle,49617878,,POINT (-117.2023642 32.7894139)
,49093593,,POINT (-117.027283 32.71862)
,49093594,,POINT (-117.0246882 32.7184573)
,49093595,,POINT (-116.978539 32.729027)
,49421276,,POINT (-116.962852 32.726765)
,49421278,,POINT (-116.962357 32.72702)
,49421284,,POINT (-117.12236 32.583916)
,1660230628,,POINT (-117.0984148 32.6541365)
,1660230629,,POINT (-117.0986274 32.6546872)
,49093606,,POINT (-116.978867 32.729881)
,1660230631,,POINT (-117.0995694 32.6570737)
,1660230632,,POINT (-117.1001415 32.6585852)
,49421290,,POINT (-117.122368 32.580261)
,1660230633,,POINT (-117.100476 32.6594522)
,49224676,,POINT (-116.906258 32.777924)
,1660230635,,POINT (-117.1008175 32.660315)
turning_circle,49617900,,POINT (-117.201431 32.798199)
turning_circle,49617903,,POINT (-117.019333 32.71513)
,1660230639,,POINT (-117.101152 32.6611688)
traffic_signals,49251928,,POINT (-117.1969819 32.7653024)
,1660230642,,POINT (-117.1014861 32.662033)
motorway_junction,1175067637,16,POINT (-117.1235548 32.7516481)
,49617909,,POINT (-117.020737 32.716549)
,1660230645,,POINT (-117.1021601 32.663765)
,4341505019,,POINT (-117.0838246 32.639704)
,1660230659,,POINT (-117.1028218 32.6654615)
,1660230660,,POINT (-117.1035004 32.6672133)
,1660230661,,POINT (-117.1038355 32.6680626)
,1660230662,,POINT (-117.1041832 32.6689433)
,1660230664,,POINT (-117.1045129 32.6697912)
,276241418,,POINT (-117.2039155 32.7578699)
turning_circle,49617932,,POINT (-117.1139961 32.7209833)
,1660230668,,POINT (-117.1048509 32.6706957)
,49224726,,POINT (-117.0922064 32.7549411)
,4603911194,,POINT (-117.1082238 32.6833829)
,4603911195,,POINT (-117.1096937 32.6833863)
,49224732,,POINT (-117.090073 32.754925)
,49617951,,POINT (-116.998772 32.74548)
,49224735,,POINT (-117.088997 32.754921)
,49617953,,POINT (-116.997437 32.745819)
,1164676287,,POINT (-117.0205948 32.613781)
,49224739,,POINT (-117.087929 32.75491)
,49552423,,POINT (-117.014603 32.771656)
,1660230697,,POINT (-117.1052922 32.6715056)
,49224746,,POINT (-117.084702 32.754887)
turning_circle,49552427,,POINT (-116.9863845 32.6371481)
,1660230699,,POINT (-117.1051837 32.6715392)
,1660230700,,POINT (-117.1055144 32.6723912)
,49617963,,POINT (-116.918758 32.788851)
,49224750,,POINT (-117.083633 32.754879)
,1660230702,,POINT (-117.1058491 32.6732489)
turning_circle,49749040,,POINT (-116.9560321 32.7581375)
,49224752,,POINT (-117.081413 32.754883)
,49224754,,POINT (-117.0789896 32.754857)
,1660230704,,POINT (-117.106191 32.6741163)
traffic_signals,3011386421,,POINT (-117.1730547 32.7198815)
,49224756,,POINT (-117.077797 32.754837)
,1660230708,,POINT (-117.1071982 32.6766958)
,49224758,,POINT (-117.076683 32.754822)
,1660230706,,POINT (-117.1068564 32.6758346)
,1660230711,,POINT (-117.1075365 32.6775596)
,1660230714,,POINT (-117.1078753 32.6784245)
,5717040187,,POINT (-117.0944645 32.6869514)
,1660230717,,POINT (-117.1082055 32.6792776)
,49224768,,POINT (-117.07428 32.754925)
turning_circle,49749056,,POINT (-117.05899 32.706589)
,5717040197,,POINT (-117.0943718 32.6873464)
,49224774,,POINT (-117.071831 32.755272)
,5717040198,,POINT (-117.0936452 32.6871785)
,1660230728,,POINT (-117.1085486 32.6801457)
,49224777,,POINT (-117.070427 32.756096)
,1660230729,,POINT (-117.1088787 32.6810048)
,49552461,,POINT (-116.976448 32.656631)
,49159245,,POINT (-117.034309 32.643269)
turning_circle,3566279757,,POINT (-117.0685768 32.6046743)
,5717040206,,POINT (-117.0937561 32.686829)
,49224784,,POINT (-117.068588 32.757023)
,5717040210,,POINT (-117.0941413 32.6908985)
,5717040215,,POINT (-117.0951626 32.6897026)
,5717040219,,POINT (-117.0952141 32.6881047)
turning_circle,49618011,,POINT (-117.046402 32.7185315)
,49552481,,POINT (-117.046097 32.553555)
,49552482,,POINT (-117.046127 32.55415)
turning_circle,49618017,,POINT (-116.987106 32.642849)
,49290343,,POINT (-117.177437 32.745731)
,49290346,,POINT (-117.1780557 32.7460985)
,49749102,,POINT (-116.934517 32.7911)
,49290353,,POINT (-117.180199 32.747437)
,49552503,,POINT (-116.9856336 32.6362097)
,49159288,,POINT (-117.219872 32.751225)
,49159291,,POINT (-116.958794 32.725857)
,49159295,,POINT (-116.958603 32.726212)
,49159304,,POINT (-116.959091 32.728748)
,49159306,,POINT (-116.959381 32.729404)
,1171659920,,POINT (-117.0034539 32.5797844)
,49159314,,POINT (-116.960121 32.730213)
,49159316,,POINT (-116.96051 32.73053)
,1171659955,,POINT (-117.0024793 32.5793201)
turning_circle,49224890,,POINT (-116.977028 32.658085)
turning_circle,49749181,,POINT (-117.037781 32.606152)
,49224895,,POINT (-116.976463 32.657978)
,49224897,,POINT (-116.975998 32.657764)
,49028290,,POINT (-117.071381 32.571728)
,4602338499,,POINT (-117.0579442 32.7718055)
,4602338500,,POINT (-117.0589902 32.7717701)
,49028293,,POINT (-117.071381 32.57127)
,49028294,,POINT (-117.071899 32.571266)
,49028291,,POINT (-117.072983 32.571724)
,1171659976,,POINT (-117.0027557 32.5791393)
turning_circle,49749188,,POINT (-116.9500265 32.755884)
,49028298,,POINT (-117.072983 32.57217)
,49028302,,POINT (-117.071953 32.572193)
,49028306,,POINT (-117.071381 32.570087)
,49224919,,POINT (-116.980431 32.656292)
,49028312,,POINT (-117.071541 32.569122)
,4598340823,,POINT (-117.0851773 32.7259461)
,49290469,,POINT (-117.107806 32.670787)
turning_circle,49552615,,POINT (-116.910423 32.754871)
,49290481,,POINT (-117.112396 32.669514)
,275979505,,POINT (-117.1547578 32.7218309)
,49290484,,POINT (-117.113462 32.6692332)
,4341898488,,POINT (-117.1877835 32.770496)
motorway_junction,1228021004,13A,POINT (-117.1045563 32.7273611)
,49487119,,POINT (-117.080833 32.758602)
,1171660048,,POINT (-117.0040351 32.5797948)
,49159448,,POINT (-117.057266 32.796841)
turning_circle,49159449,,POINT (-117.0576302 32.797099)
,356523315,,POINT (-116.9699835 32.6209963)
,49421621,,POINT (-117.105583 32.726055)
turning_circle,49552697,,POINT (-117.197578 32.7798)
,48962880,,POINT (-117.1012671 32.7790465)
,49290563,,POINT (-117.046356 32.731556)
,49421636,,POINT (-117.011581 32.738728)
motorway_junction,3932167492,3,POINT (-117.1940313 32.7605277)
,49421638,,POINT (-117.011589 32.739529)
