highway_n,osmid_n,ref_n,geometry_n
,6382879005,,POINT (-116.994666 32.6114055)
,6382879008,,POINT (-116.9950643 32.6122025)
,6382879009,,POINT (-116.9964203 32.6116988)
,6382879011,,POINT (-116.9958089 32.6119338)
,49348900,,POINT (-117.0549305 32.732929)
,6382879012,,POINT (-116.9952672 32.6121301)
,49348902,,POINT (-117.0554645 32.733944)
,6382879013,,POINT (-116.9948633 32.611333)
,49086759,,POINT (-117.1712877 32.7378978)
,49152297,,POINT (-117.053391 32.672157)
,4341498154,,POINT (-117.0839106 32.6401178)
,49086761,,POINT (-117.1713704 32.7451955)
,49086763,,POINT (-117.171333 32.746296)
,49086764,,POINT (-117.171349 32.746819)
,49086766,,POINT (-117.1713613 32.7473178)
traffic_signals,49086767,,POINT (-117.171379 32.748943)
traffic_signals,49086768,,POINT (-117.1713817 32.7499134)
,49086769,,POINT (-117.171387 32.750862)
,49086770,,POINT (-117.17141 32.751823)
,4341498165,,POINT (-117.0856362 32.6444517)
,49086774,,POINT (-117.1714377 32.7556879)
,49086775,,POINT (-117.1714191 32.7564925)
,49086777,,POINT (-117.171722 32.742088)
,49348924,,POINT (-116.953957 32.631165)
,49348926,,POINT (-116.953506 32.631458)
,49152319,,POINT (-117.05899 32.579781)
,49480007,,POINT (-116.9563356 32.7541844)
,49348935,,POINT (-116.952332 32.631176)
,49348938,,POINT (-117.084702 32.563442)
,49086798,,POINT (-116.9744032 32.7949444)
,49086799,,POINT (-116.97438 32.791336)
,48890204,,POINT (-117.079773 32.575848)
,48890205,,POINT (-117.078819 32.575859)
,49086814,,POINT (-116.960403 32.734379)
,1164674925,,POINT (-117.0179394 32.6203824)
,49086817,,POINT (-116.961433 32.734798)
,49348962,,POINT (-117.078506 32.799026)
,49021285,,POINT (-117.0647961 32.7808862)
,1164674927,,POINT (-117.0115078 32.6196549)
,49086825,,POINT (-116.965431 32.733299)
,49086827,,POINT (-116.965523 32.733768)
,49414511,,POINT (-116.997528 32.755817)
turning_circle,49086831,,POINT (-117.084091 32.728016)
,49217905,,POINT (-117.024193 32.78117)
,1164674929,,POINT (-117.0188299 32.6205541)
,49217907,,POINT (-117.023659 32.781696)
,49086835,,POINT (-117.08329 32.728153)
,49480055,,POINT (-117.062973 32.615986)
,49217913,,POINT (-117.022377 32.783894)
,49480060,,POINT (-117.062752 32.615459)
,49480065,,POINT (-117.062317 32.615578)
,49480067,,POINT (-117.06163 32.613853)
,49480069,,POINT (-117.060982 32.612133)
,49480072,,POINT (-117.004623 32.763462)
traffic_signals,49152398,,POINT (-117.1474463 32.7401861)
turning_circle,49414549,,POINT (-117.0817819 32.7682984)
,49152413,,POINT (-117.143702 32.7397891)
,49217950,,POINT (-116.990341 32.714809)
,49414559,,POINT (-117.082413 32.769047)
,49217951,,POINT (-116.990318 32.716606)
,49217953,,POINT (-116.990288 32.718372)
turning_circle,49217956,,POINT (-116.9902439 32.7211735)
,49414570,,POINT (-117.0829716 32.7708015)
,49086893,,POINT (-117.055717 32.759529)
,49086898,,POINT (-117.054626 32.759655)
,49152437,,POINT (-117.034008 32.7898871)
,49086903,,POINT (-117.053574 32.760658)
,49152440,,POINT (-116.936241 32.791763)
,49480120,,POINT (-117.01384 32.762569)
,49217979,,POINT (-117.013077 32.631104)
,357564863,,POINT (-117.2381943 32.7556891)
,49152448,,POINT (-117.106651 32.723759)
,49414600,,POINT (-117.042709 32.701405)
,49283530,,POINT (-117.0849 32.725521)
,49152458,,POINT (-117.104279 32.722759)
,49152460,,POINT (-117.104134 32.722755)
,49414604,,POINT (-117.041962 32.701775)
,49414610,,POINT (-117.040787 32.702194)
,5234033112,,POINT (-117.0131606 32.5632749)
,5234033114,,POINT (-117.0130452 32.563698)
,5234033115,,POINT (-117.0130109 32.5638095)
,5234033116,,POINT (-117.0132657 32.5632946)
,49146396,,POINT (-116.964706 32.641586)
,5234033118,,POINT (-117.0131541 32.5637175)
,5234033119,,POINT (-117.0131268 32.5638295)
,5234033120,,POINT (-117.0150426 32.5638495)
,49414625,,POINT (-116.990608 32.764072)
,5234033126,,POINT (-117.012376 32.562596)
,49283560,,POINT (-117.088959 32.729019)
,5234033128,,POINT (-117.0151457 32.5644642)
turning_circle,49414635,,POINT (-116.990044 32.764759)
,49283564,,POINT (-117.089111 32.730133)
,5234033132,,POINT (-117.0148846 32.5641012)
,49283566,,POINT (-117.089104 32.730785)
,49152496,,POINT (-116.967773 32.655197)
,5234033137,,POINT (-117.0123796 32.5627772)
,49283570,,POINT (-117.088997 32.731422)
,5234033138,,POINT (-117.0145085 32.5636396)
,5234033139,,POINT (-117.0147936 32.5631452)
,49480180,,POINT (-117.067703 32.629375)
,49152502,,POINT (-116.962051 32.655415)
,49021430,,POINT (-116.996773 32.576263)
turning_circle,49152504,,POINT (-116.960132 32.655381)
,5234033140,,POINT (-117.0150193 32.5632531)
,5234033142,,POINT (-117.026015 32.5618637)
,5234033141,,POINT (-117.0143708 32.5629585)
,49611257,,POINT (-117.006752 32.758621)
,5234033149,,POINT (-117.0254303 32.5630331)
,49283582,,POINT (-117.087128 32.735386)
,49480196,,POINT (-117.0698315 32.6387508)
,49152520,,POINT (-117.0242 32.760674)
,49146406,,POINT (-116.91877 32.785511)
,49283604,,POINT (-117.090042 32.736961)
,49152541,,POINT (-117.023567 32.760933)
,49152542,,POINT (-117.02327 32.760967)
,49283614,,POINT (-117.0850262 32.7076996)
,49283613,,POINT (-117.085039 32.7059265)
traffic_signals,49283617,,POINT (-117.0849841 32.7086497)
,49611299,,POINT (-117.0265068 32.681251)
,49283620,,POINT (-117.084988 32.7104111)
,49283621,,POINT (-117.085084 32.7123858)
,49611300,,POINT (-117.025963 32.681332)
,49283623,,POINT (-117.0850486 32.7137617)
,49283624,,POINT (-117.0849292 32.716732)
,49283625,,POINT (-117.0849177 32.7169909)
,49611303,,POINT (-117.032837 32.731846)
turning_circle,49152561,,POINT (-117.015953 32.629436)
traffic_signals,49283635,,POINT (-117.0849376 32.7214225)
,49218100,,POINT (-117.033371 32.692402)
,49283638,,POINT (-117.0849828 32.7223186)
,49152567,,POINT (-117.016388 32.628593)
turning_circle,49611320,,POINT (-117.055443 32.654236)
traffic_signals,49283641,,POINT (-117.0849753 32.7241213)
turning_circle,49218107,,POINT (-117.032051 32.691189)
,49283646,,POINT (-116.9146368 32.7964055)
,6255280702,,POINT (-117.1899199 32.7290381)
,6255280707,,POINT (-117.1910369 32.7296342)
,6255280708,,POINT (-117.1910352 32.7295602)
,4616487494,,POINT (-117.1340124 32.6183834)
,49283656,,POINT (-116.9141885 32.7954867)
,4616487496,,POINT (-117.1340372 32.618491)
,49611339,,POINT (-116.964813 32.642326)
