nodes,distance
49348700,2762.2129999999997
49348702,2940.52
49348703,3159.148
4341498154,3143.6919999999996
49480055,1894.941
49480060,1957.089
49480065,1999.926
49480067,2202.243
49480069,2402.898
49480180,1053.032
49480196,2214.3829999999994
49611356,1894.9019999999998
49611358,1713.024
49611360,1913.4209999999998
49611362,2114.1119999999996
49611367,1648.9979999999998
49611377,1491.7430000000002
49611378,985.6460000000001
49611414,2600.3659999999995
49611416,2296.6759999999995
49611422,29.392
49611425,0.0
49414966,3345.344999999999
49414968,3266.425999999999
49415074,3184.042999999999
49415081,3003.2199999999993
49415095,3346.5449999999996
49742796,2126.667
49742803,2236.9599999999996
49743067,2047.6629999999998
49743070,2245.8889999999997
49743078,2504.127
49743084,1570.7799999999997
49481105,1647.0649999999998
49743549,3101.6949999999993
48957143,3425.464
49284827,3530.4229999999993
49284829,3584.8189999999995
49350489,3035.103
49350491,2593.3129999999996
49350493,2515.1759999999995
49350510,1857.4979999999998
49088818,3326.7729999999992
1245776257,1040.507
275712415,2977.696999999999
1245776296,1032.95
49088976,1391.138
49088979,1556.1029999999998
49154538,2750.2149999999997
49154539,2575.306
49416703,2055.328
49416705,2123.072
49220308,3540.7199999999993
49220347,3319.6979999999994
49089331,3541.410999999999
49089336,1943.8630000000003
49089338,1752.7600000000002
49089339,1555.6429999999998
49089340,1674.7889999999998
275712850,2968.2199999999993
48958918,3452.9120000000003
48958919,3468.1250000000005
48958922,2489.266
48958923,2498.6330000000003
48958926,2191.982
48958927,2183.076
48958973,2408.8969999999995
48958974,2403.5929999999994
48958976,1800.287
275713609,2827.5209999999993
49548909,1767.1660000000002
275713681,2857.3209999999995
49483443,2588.538
49155907,2906.9089999999997
49549125,3334.903
49155925,3097.9319999999993
275713878,2866.439999999999
49155982,2690.526
49614756,2872.706
49745868,2514.429
49745887,1924.942
49614820,2986.4300000000003
49221952,3031.2450000000003
49221954,3102.6440000000002
49353041,2144.294
49353049,3157.371
49746277,2952.4149999999995
49418768,1497.284
48894570,2922.158999999999
48894571,3284.8499999999995
287970082,2662.521
49353625,2582.1929999999993
49353628,2818.881999999999
49353634,2956.246999999999
49353639,3353.121
49484714,2717.841
49681345,3380.938000000001
49419230,2630.06
49419232,2686.169
49419233,2717.7439999999997
275715178,2829.086999999999
49353836,2413.359
49353850,2061.4329999999995
49091718,3316.9079999999994
49485376,2430.5250000000005
49485387,2113.2540000000004
49485400,1617.8399999999997
49354557,3262.793
4589689227,3208.132
49420749,3112.901
49224249,1884.6999999999998
49224250,1970.772
49224252,2116.897
275716916,3334.6949999999997
5380381513,2745.438
5380381514,2757.075
5380381515,2581.294
5380381516,2582.095
5380381520,2656.3289999999997
4341505019,3100.459
3566279757,3323.5560000000005
49618288,2195.1670000000004
4848230120,3259.7390000000005
4848230421,3302.4520000000007
4848230422,3384.1510000000007
4848230423,3345.790000000001
4848230425,3303.9980000000005
49094966,2645.505
49094967,2848.27
49094968,3000.038
49094969,3101.023
49094970,3182.415
49094971,3250.511
49422882,2725.139
49422884,2804.23
49422892,3015.676
275718753,3433.259
49750671,3324.106999999999
275719065,3414.5609999999992
49161174,2816.349
49357863,2877.3970000000004
49096112,2566.3429999999994
49423814,3291.6419999999994
49423816,3325.5579999999995
49423833,1887.1070000000002
49423835,1791.225
49423837,1590.784
49423840,1348.839
49423842,1294.7949999999998
49423844,1392.909
49423847,1791.457
49423852,2078.315
49423856,2394.225
49161838,3564.5690000000004
4341311257,2582.669999999999
4341311272,1872.204
4341311273,1816.642
49555283,2003.7099999999996
49555289,2076.6609999999996
49359158,1499.5419999999997
49752436,3310.791999999999
49097118,3389.0969999999993
49162850,3382.723000000001
49162865,2445.988
49162864,2274.082
49162877,2748.919
49162879,2848.8260000000005
49162885,2973.5040000000004
3694144402,2252.4959999999996
49097809,2581.356999999999
49097810,2488.0119999999993
49097811,2578.5949999999993
49097812,2103.9549999999995
49097813,2303.4519999999993
49097824,2196.9889999999996
49359994,2536.3879999999995
49360000,2556.0659999999993
49360007,2723.2909999999993
49360013,2790.276999999999
49360029,3094.5499999999993
49360033,3023.2860000000005
275721486,3500.0999999999995
4341706135,2448.6030000000005
4341706139,2506.4190000000003
4341706141,2609.3840000000005
4341706146,2615.7180000000003
49556923,3232.5179999999996
49098175,2115.168
49098184,2054.3790000000004
49098191,2190.814
49556945,3583.0219999999995
49098193,2081.016
49098201,1857.237
3215732308,1085.557
49164008,2735.1539999999995
49164011,2730.1619999999994
3534237475,3337.4469999999997
3534237477,3535.697999999999
49098569,2993.9519999999993
49098573,2908.7759999999994
49557360,2596.1090000000004
49557362,2628.3870000000006
49557376,2904.3560000000007
48967593,3094.315999999999
48967632,3514.5399999999995
49229816,2182.5280000000002
49229817,2582.0130000000004
49229818,2676.425
49229819,2824.134
49229822,2986.608
49229824,3152.5620000000004
49229827,3390.4390000000003
49426481,3543.1049999999996
49426489,2854.1940000000004
49426501,1950.9119999999998
49426515,1991.1709999999998
49426522,1777.274
49426523,1576.04
49623133,1186.541
49623141,887.118
49426568,2354.3999999999996
49426569,2505.9179999999997
49426570,2757.008
49426577,3161.575
49623235,2200.392
49623238,2340.6899999999996
49099218,3556.3170000000005
49099221,3354.3440000000005
49099222,3255.2170000000006
49099223,3205.9200000000005
49099225,2797.816
49099227,2395.0959999999995
49099228,1995.3909999999996
49099226,2595.5759999999996
49099229,2173.443
49099230,1983.588
49099231,2169.986
49099232,2349.9669999999996
49099273,3169.1639999999998
49099274,3552.142
49099272,2765.22
5896399411,1800.112
5896399412,1818.255
5896399413,1975.7749999999999
5896399414,1988.6059999999998
49099523,2658.1769999999997
49099524,3057.1269999999995
49099531,3088.7319999999995
49099534,2543.2279999999996
49099537,3122.7759999999994
49099538,2739.8329999999996
49099539,2751.035
49099540,2563.0989999999997
49099541,2356.1639999999993
49099552,2213.48
49099553,2326.0600000000004
49099557,3443.5739999999996
49099558,3240.897
49099559,2295.4510000000005
49099560,2436.0720000000006
49099561,1508.2690000000002
49099562,1471.965
49099563,1547.992
48968693,1775.8059999999998
