nodes,distance
49217567,2665.942
49217573,2428.326
49217577,2344.055
49217580,2274.56
49479756,2344.6320000000005
49479760,2442.6630000000005
49676487,2432.2929999999997
48890105,3192.463
48890106,3198.1670000000004
48890113,2471.9020000000005
48890114,2457.1130000000003
48890115,2474.481
48890121,3159.4890000000005
48890122,3189.5130000000004
49086761,2860.759
49086763,2738.183
49086764,2680.009
49086766,2624.533
49086767,2449.6009999999997
49086768,2491.658
49086769,2597.139
49086770,2704.0190000000002
49152398,3156.8820000000005
49152413,3508.5470000000005
49480392,3213.142
49480394,2929.714
49480400,2785.3
49480405,2414.01
49480411,2618.6290000000004
49480424,2799.7219999999998
49480427,2830.469
49480477,3265.3770000000004
49152813,3455.438
49152817,3558.129
1376387982,3201.1059999999993
1376387989,3126.086
1376387992,3481.6659999999997
1376387995,3465.93
49152953,3169.0049999999997
49152955,3269.647
49152957,3370.279
49152959,3470.911
49480733,3425.823
49284392,3597.885
49546560,2563.935
49087852,3412.2919999999995
49087853,3358.1399999999994
49087857,3151.3349999999996
49087861,2995.6119999999996
49087865,3210.845
49153523,3467.527
49153545,3475.1759999999995
49153550,3360.4619999999995
49153606,3492.2560000000003
49284704,2396.1409999999996
49284705,2460.9619999999995
49350250,2631.097
49350276,2316.969
49350279,2278.486
49350291,1997.3459999999995
49022802,3467.2529999999997
49219469,3451.805999999999
49219471,3558.6659999999993
49219472,3591.356999999999
49219481,2708.767
49219483,2639.2819999999997
49219484,2534.5269999999996
49219487,2579.256
49219489,2684.551
49219495,2693.803
49219498,2903.053
276760531,2624.561
49088634,1863.8019999999997
49088645,2119.68
49088649,2237.557
49088650,2333.419
49088652,2398.5429999999997
49088661,2615.2539999999995
49088662,2687.1699999999996
49088669,2786.0099999999998
276760823,2434.156
2480539911,2001.316
2480539920,2013.364
1355680099,1870.621
422447921,3457.5819999999994
49120825,1632.068
49351608,3461.1670000000004
1199443130,3199.378
1199443131,3423.370999999999
1199443135,3321.4460000000004
1199443137,3503.5649999999996
1199443139,3559.5069999999996
1199443141,3441.239
49220842,2880.6459999999997
49220849,3005.6229999999996
1718881529,2096.656
49220883,2371.2509999999997
49220885,2458.4519999999998
49220890,2750.79
1283132773,2995.7889999999993
1283132828,2094.447
48958990,2341.8199999999997
49483309,2466.6249999999995
49483310,2496.7109999999993
49417784,2509.669
49483373,3197.2709999999997
316542598,2849.6470000000004
48894000,3456.0370000000003
49090688,2423.681
49090689,2563.7400000000002
3643150615,2935.407
3643150616,2955.9139999999998
3643150620,2883.821
49353188,2427.857
49353189,2515.8749999999995
49353199,3021.634
49353201,3105.15
49353202,3183.6130000000003
49091135,3494.7049999999995
49091136,3121.545
49091137,3210.607
49091165,1391.0420000000001
49156920,3123.9659999999994
49156922,3214.216999999999
1188762457,2786.3649999999993
1188762469,2852.9489999999996
1188762471,2607.5409999999997
1188762474,2698.0629999999996
1188762476,2931.9149999999995
1742083115,2446.0489999999995
49616180,3459.3440000000005
60495209,2321.5820000000003
60495214,1543.424
60495224,1893.3210000000001
1188763120,2500.839
1188763123,2330.587
1188763122,2417.401
1188763128,1686.551
1188763131,1802.506
1188763132,2246.111
1188763133,2011.538
1188763134,2585.517
1188763136,1695.227
1188763137,1906.487
1188763138,2115.131
49223240,3296.7870000000003
49223242,3261.4260000000004
49223246,3474.541
49223247,3581.4770000000003
49354494,2316.091
48895860,1645.4499999999998
48895866,1903.8759999999997
49223545,3591.1979999999994
49223546,3525.3719999999994
49223557,3197.7949999999996
49223562,3090.4749999999995
49223570,2832.7829999999994
49223573,2883.5729999999994
49223575,2967.3059999999996
49223586,3075.966
49223601,3022.3889999999997
49092538,3109.8629999999994
48895950,3301.9700000000003
48895951,3317.614
49069391,2648.672
5886974116,3063.708
5886974117,3048.393
1762662590,2142.4929999999995
1762662592,2057.0440000000003
1762662594,2134.5060000000008
1762662600,2090.2640000000006
1762662602,2138.9850000000006
846535202,3167.1919999999996
846535239,3284.8239999999996
49093318,1936.1230000000003
49093319,1987.8360000000002
49093321,2164.8950000000004
49093322,1793.335
49093323,1577.0539999999999
1921850146,1440.533
49290343,3269.0719999999997
49290346,3339.91
49290353,3502.547
3932167492,3122.715
3378978170,2014.8709999999999
3378978176,2852.4249999999997
3378978177,2404.0299999999997
316743092,2580.04
49094093,2239.4970000000003
49094095,2010.75
49094096,1908.7779999999998
49094097,1967.1419999999998
49094101,1828.468
49094104,2413.4130000000005
49094109,2710.2960000000003
49094110,2645.5040000000004
49094111,2586.4400000000005
316481090,1395.867
49421918,2456.4709999999995
49421919,2657.4309999999996
49749678,2881.095
49618893,2880.018
435822630,2582.8759999999997
49356941,3527.2489999999993
49356949,3588.3379999999993
1188766164,2459.7419999999997
1188766170,2426.023
48898586,2065.145
49095399,3451.0369999999994
49095400,3515.5459999999994
49357685,2152.35
1214981043,3332.271
49358118,2665.2230000000004
48899370,1155.989
49358121,2644.5570000000002
49358123,2742.4840000000004
48899379,1608.012
49358169,3374.9879999999994
49358170,3440.8099999999995
49096208,2331.145
49096209,2229.832
49096217,1864.617
49096228,2583.0639999999994
49096241,3013.225
2304485442,2513.089
49096627,2954.315
49096643,2051.556
49096672,3454.9660000000003
1199384576,3598.6529999999993
49096795,2096.782
49096797,2204.7340000000004
49096798,2257.8730000000005
49096799,2288.7460000000005
49096800,2290.942
49096805,2536.428
49096806,2618.234
49096808,2957.474
49096809,3043.9410000000003
49096810,3124.277
49096811,3207.041
49096812,3286.255
49096813,3363.319
49096815,3477.5080000000003
48900269,1291.6889999999999
48900270,1834.588
48900511,1672.6100000000001
48900514,1446.554
48900519,1361.0
48900524,1384.1809999999998
279718322,2638.893
49621833,2671.881
49687513,3590.3750000000005
350366785,2360.891
2430676120,2380.4460000000004
2430676127,2544.0430000000006
2430676167,2359.7210000000005
2430676177,2219.3290000000006
3506384352,2936.408
3506384353,3266.5759999999996
49426226,3509.342
49426231,3397.944
49426229,3428.5050000000006
1339371327,2457.239
1339371343,2251.487
316551023,1997.667
316551029,1984.2939999999996
49229717,3358.7120000000004
49229719,3261.5270000000005
49098666,2809.212000000001
49098667,2892.3550000000005
49098668,3046.7340000000004
49098672,3396.579
49098675,2550.63
49098676,2479.8509999999997
49098677,2312.781
49098678,2227.855
49098679,2157.187
49098680,2132.534
49295365,1909.081
49295366,1785.36
316551199,1973.0639999999996
287322161,1990.394
48967759,2766.068
49426534,2267.094
49295473,3204.265
49295475,3264.1369999999997
1710764179,2815.5380000000005
49098926,1293.8770000000002
1710764216,2700.052
49426626,3274.342
49426628,3158.474
49426629,2924.404
49426631,2576.575
49426640,1745.588
412692733,3384.623
412692734,3189.1189999999997
49230167,3046.9719999999998
49230169,2966.1490000000003
49230171,2933.067
49230173,2946.6610000000005
49230177,3147.2179999999994
49230180,3213.826
49230182,3246.4309999999996
49230186,3572.7549999999997
49230189,2965.752
49230193,2132.805
49164717,3284.775
49164720,3373.893
49033678,1187.594
49296034,1526.5370000000003
49296036,1780.3680000000002
49296042,2051.0530000000003
49296065,2870.0800000000004
49755031,3349.63
287323067,2829.954
287323070,3100.52
49755086,727.9920000000002
49755115,1972.846
49165426,3269.677
49034389,3569.0459999999994
1188771061,1585.8500000000001
1188771063,1468.501
1188771065,1509.369
1188771069,1476.843
1188771071,1517.9470000000001
49231131,3484.1329999999994
1188771371,1299.7630000000001
287323707,2758.1999999999994
1185560171,2373.678
287323777,2708.532
287323821,2848.001
49559264,1979.05
3042654044,1938.4309999999998
49559512,2305.071
49559533,3200.4049999999997
49166534,3472.6850000000004
49166537,3321.176
49149218,3048.5850000000005
49149223,3119.0170000000003
49298094,1293.2120000000002
49298104,972.1460000000002
49363701,2448.0580000000004
48904950,3268.2960000000003
48904951,3256.1200000000003
49363703,2587.059
49363715,3047.25
49363717,3164.238
49363719,3279.8239999999996
49363722,3396.1579999999994
49363723,3510.2479999999996
49756994,1486.783
