nodes,distance
49086487,101.993
49086490,0.0
49414549,1624.815
49414559,1512.537
49414570,1719.534
49283718,3522.2150000000006
49283721,3327.4980000000005
49283722,3293.5830000000005
49283723,3207.5160000000005
49283720,3411.8980000000006
49283725,2882.9410000000007
49283728,2359.9890000000005
49087209,3285.8409999999994
49414913,3126.545
49349385,2357.58
49087347,2777.187
49087352,2900.9610000000002
49152890,2747.029
49087353,2954.6620000000003
49087360,2819.571
49087361,2877.298
49152946,2847.854
49152962,3125.9770000000003
49152992,3596.0660000000007
49152994,3572.5970000000007
49152998,3495.5280000000007
533005871,2549.406
48891540,2759.896
49416064,2707.542
49350919,3569.1289999999995
49023246,2970.8230000000003
48957726,2762.01
48957727,2779.813
49089271,1994.7189999999998
49089272,2106.7509999999997
49154856,210.07599999999996
49154858,162.85499999999996
49417399,3323.3540000000007
2138443115,3207.4849999999997
2138443122,3043.0489999999995
1283132851,3287.0750000000003
1283133077,3148.576
49614493,2494.062
49614503,2566.373
49090652,2678.8149999999996
49680605,3479.4
49484006,3150.4359999999997
49090909,3059.1990000000005
49090911,3417.2010000000005
49549913,1539.292
49091237,3598.091000000001
49091239,3387.3630000000003
49091247,2476.3430000000003
49091251,2156.17
49091256,1476.243
49091257,1151.165
49091260,596.826
49091261,505.201
49091266,715.3230000000001
49091272,1003.306
49091278,1162.448
49091280,1426.608
5717097829,2047.1369999999997
5751290548,2468.391
49222631,3221.0649999999996
49157206,1939.5949999999998
49157215,2341.8579999999997
49092154,3034.0049999999997
49092155,2973.2019999999998
49092156,2768.037
49092164,3274.301
49092165,3307.022
49092169,2264.5910000000003
49092181,2260.256
49616502,3133.8439999999996
49616510,3416.3330000000005
49551050,2499.5660000000007
49419991,3475.675
49420004,3185.311
49420018,2914.2000000000003
49420045,1471.9159999999997
49420047,1373.6249999999998
2138445603,2791.5289999999995
2138445605,2807.4999999999995
2138445642,2750.6230000000005
2138445649,2682.6360000000004
2138445673,2729.8710000000005
4792457190,3289.422
49224581,1831.8429999999998
49224583,2196.626
49224591,2024.1529999999998
49224599,1859.7069999999999
49224601,1786.2089999999998
49224610,2876.156
49224726,2485.3550000000005
49224732,2316.3050000000003
49224735,2231.7000000000003
49224739,2146.58
49224746,1892.075
49224750,1806.926
49224752,1656.5949999999998
49224754,1509.085
49224756,1620.632
49224758,1724.8200000000002
49224768,1939.9499999999996
49224774,2174.9599999999996
49224777,2335.4459999999995
49224784,2261.882
4602338499,3587.1629999999996
49487119,1382.6859999999997
1336352096,1971.9020000000003
1336352097,1820.47
1336352100,1854.8070000000002
1336352102,2490.179
1336352105,1892.6140000000003
1336352113,2197.6050000000005
49094158,3019.327
49094163,3361.0260000000003
347414120,2231.9129999999996
2138447534,2806.2880000000005
2138447539,2863.4989999999993
2138447540,2662.7400000000002
2138447541,2623.6340000000005
2138447559,2586.0090000000005
2138447561,2616.7790000000005
49290993,2779.846
49291009,3097.2490000000003
49291016,3049.539
49618729,3101.787
3352829888,2451.8329999999996
49094780,2431.642
49094788,2636.5679999999998
49160548,3204.9870000000005
49160549,3298.3220000000006
49160551,3358.8510000000006
49160554,3182.7439999999992
49160559,3258.4830000000006
49291657,3161.6249999999995
49488282,2581.4700000000003
49488294,2851.7940000000003
49488317,3108.154
49422811,3222.25
49422820,3448.216
296872481,2854.7740000000003
49095231,3045.0449999999996
49619564,1169.926
2139628457,2352.3279999999995
2139628461,2360.1129999999994
49161149,3072.7590000000005
49292888,3482.7699999999995
49227788,3259.4479999999994
49227789,3298.0599999999995
49096759,3361.5440000000003
49096761,3347.5020000000004
49358966,2806.489
49358972,3222.564
49358974,2769.472
2853906798,1750.309
49359421,2644.284
49359423,2056.121
49359456,2931.2740000000003
49687281,81.178
2138450863,2618.472
2138450883,2653.2540000000004
49360034,3089.893
49360039,2885.921
